Player,Salary
Austin Rivers,"$1,836,090.00"
Nathan Knight,"$1,836,090.00"
Matthew Dellavedova,"$1,836,090.00"
Ryan Arcidiacono,"$1,836,090.00"
Svi Mykhailiuk,"$3,714,810.00"
James Johnson,"$1,836,090.00"
Facundo Campazzo,"$1,836,090.00"
Dennis Smith Jr.,"$1,836,090.00"
Yuta Watanabe,"$1,836,090.00"
Markieff Morris,"$1,836,090.00"
Blake Griffin,"$1,836,090.00"
Justin Jackson,"$1,836,090.00"
Noah Vonleh,"$1,836,090.00"
Javonte Green,"$1,815,677.00"
Max Strus,"$1,815,677.00"
Gabe Vincent,"$1,815,677.00"
Herbert Jones,"$1,785,000.00"
Vernon Carey Jr.,"$1,782,621.00"
Xavier Tillman Sr.,"$1,782,621.00"
Tyrell Terry,"$1,782,621.00"
Tre Jones,"$1,782,621.00"
Paul Reed,"$1,782,621.00"
Naji Marshall,"$1,782,621.00"
Kenyon Martin Jr.,"$1,782,621.00"
Lamar Stevens,"$1,782,621.00"
Nick Richards,"$1,782,621.00"
Saben Lee,"$1,752,638.00"
Haywood Highsmith,"$1,752,638.00"
Omer Yurtseven,"$1,752,638.00"
Jericho Sims,"$1,639,842.00"
Sam Hauser,"$1,637,966.00"
Kessler Edwards,"$1,637,966.00"
Justin Champagnie,"$1,637,966.00"
Matt Ryan,"$1,637,966.00"
Mac McClung,"$1,637,966.00"
Isaiah Todd,"$1,575,000.00"
Trendon Watford,"$1,563,518.00"
Jared Butler,"$1,563,518.00"
Greg Brown III,"$1,563,518.00"
Miles McBride,"$1,563,518.00"
Jose Alvarado,"$1,563,518.00"
Jason Preston,"$1,563,518.00"
Brandon Boston Jr.,"$1,563,518.00"
Daishen Nix,"$1,563,518.00"
Isaiah Livers,"$1,563,518.00"
JT Thor,"$1,563,518.00"
Marko Simonovic,"$1,563,518.00"
Vit Krejci,"$1,563,518.00"
Terry Taylor,"$1,563,518.00"
Jock Landale,"$1,563,518.00"
Dalano Banton,"$1,563,518.00"
Aaron Wiggins,"$1,563,518.00"
Austin Reaves,"$1,563,518.00"
Ayo Dosunmu,"$1,563,518.00"
Christian Koloko,"$1,500,000.00"
Eric Bledsoe,"$1,300,000.00"
Kennedy Chandler,"$1,200,000.00"
Jaden Hardy,"$1,017,781.00"
Josh Minott,"$1,017,781.00"
Max Christie,"$1,017,781.00"
Ryan Rollins,"$1,017,781.00"
Jabari Walker,"$1,017,781.00"
Chima Moneke,"$1,017,781.00"
Tyrese Martin,"$1,017,781.00"
Kyle Singler,"$999,200.00"
Nik Stauskas,"$702,311.00"
Juwan Morgan,"$576,230.00"
Malik Fitts,"$555,217.00"
D.J. Augustin,"$333,333.00"
Trevelin Queen,"$330,000.00"
Didi Louzada,"$268,032.00"
D.J. Wilson,"$250,000.00"
Wendell Moore Jr.,"$230,620.00"
Sam Merrill,"$150,000.00"
Ish Wainright,
Troy Williams,"$122,741.00"
Demetrius Jackson,"$92,857.00"
Charles Bassey,"$74,742.00"
